,0
521,"2, 52800, Note_on_c, 0, 69, 111
"
522,"2, 52920, Tempo, 465116
"
523,"2, 53040, Tempo, 468750
"
524,"2, 53160, Tempo, 468750
"
525,"2, 53280, Tempo, 472440
"
526,"2, 53280, Note_off_c, 0, 69, 80
"
527,"2, 53280, Note_on_c, 0, 69, 111
"
528,"2, 53400, Tempo, 476190
"
529,"2, 53520, Tempo, 476190
"
530,"2, 53640, Tempo, 480000
"
531,"2, 53760, Tempo, 483870
"
532,"2, 53760, Note_off_c, 0, 69, 80
"
533,"2, 53880, Tempo, 487804
"
534,"2, 54000, Tempo, 491803
"
535,"2, 54120, Tempo, 491803
"
536,"2, 54240, Tempo, 495867
"
537,"2, 54240, Note_on_c, 0, 69, 111
"
538,"2, 54360, Tempo, 500000
"
539,"2, 54480, Tempo, 500000
"
540,"2, 54600, Tempo, 504201
"
541,"2, 54720, Tempo, 508474
"
542,"2, 54720, Note_off_c, 0, 69, 80
"
543,"2, 54720, Note_on_c, 0, 69, 111
"
544,"2, 54840, Tempo, 512820
"
545,"2, 54960, Tempo, 517241
"
546,"2, 55080, Tempo, 517241
"
547,"2, 55200, Tempo, 521739
"
548,"2, 56640, Note_off_c, 0, 69, 80
"
549,"2, 56640, Tempo, 451127
"
550,"2, 57600, Note_on_c, 0, 76, 111
"
551,"2, 57720, Note_off_c, 0, 76, 80
"
552,"2, 57720, Note_on_c, 0, 71, 111
"
553,"2, 57840, Note_off_c, 0, 71, 80
"
554,"2, 57840, Note_on_c, 0, 80, 111
"
555,"2, 57960, Note_off_c, 0, 80, 80
"
556,"2, 57960, Note_on_c, 0, 76, 111
"
557,"2, 58080, Note_off_c, 0, 76, 80
"
558,"2, 58080, Note_on_c, 0, 83, 111
"
559,"2, 58560, Note_off_c, 0, 83, 80
"
560,"2, 59040, Note_on_c, 0, 68, 111
"
561,"2, 59160, Note_off_c, 0, 68, 80
"
562,"2, 59160, Note_on_c, 0, 64, 111
"
563,"2, 59280, Note_off_c, 0, 64, 80
"
564,"2, 59280, Note_on_c, 0, 71, 111
"
565,"2, 59400, Note_off_c, 0, 71, 80
"
566,"2, 59400, Note_on_c, 0, 68, 111
"
567,"2, 59520, Note_off_c, 0, 68, 80
"
568,"2, 59520, Note_on_c, 0, 76, 111
"
569,"2, 60000, Note_off_c, 0, 76, 80
"
570,"2, 60480, Note_on_c, 0, 56, 127
"
571,"2, 60600, Note_off_c, 0, 56, 80
"
572,"2, 60600, Note_on_c, 0, 52, 111
"
573,"2, 60720, Note_off_c, 0, 52, 80
"
574,"2, 60720, Note_on_c, 0, 59, 111
"
575,"2, 60840, Note_off_c, 0, 59, 80
"
576,"2, 60840, Note_on_c, 0, 56, 127
"
577,"2, 60960, Note_off_c, 0, 56, 80
"
578,"2, 60960, Note_on_c, 0, 64, 111
"
579,"2, 61440, Note_off_c, 0, 64, 80
"
580,"2, 61440, Note_on_c, 0, 64, 111
"
581,"2, 61440, Note_on_c, 0, 58, 111
"
582,"2, 61440, Note_on_c, 0, 49, 111
"
583,"2, 61920, Note_off_c, 0, 64, 80
"
584,"2, 61920, Note_off_c, 0, 58, 80
"
585,"2, 61920, Note_off_c, 0, 49, 80
"
586,"2, 61920, Note_on_c, 0, 64, 111
"
587,"2, 61920, Note_on_c, 0, 61, 111
"
588,"2, 61920, Note_on_c, 0, 46, 127
"
589,"2, 62400, Note_off_c, 0, 64, 80
"
590,"2, 62400, Note_off_c, 0, 61, 80
"
591,"2, 62400, Note_off_c, 0, 46, 80
"
592,"2, 62400, Note_on_c, 0, 64, 111
"
593,"2, 62400, Note_on_c, 0, 61, 111
"
594,"2, 62880, Note_off_c, 0, 64, 80
"
595,"2, 62880, Note_off_c, 0, 61, 80
"
596,"2, 62880, Note_on_c, 0, 63, 111
"
597,"2, 62880, Note_on_c, 0, 59, 111
"
598,"2, 63360, Note_off_c, 0, 63, 80
"
599,"2, 63360, Note_off_c, 0, 59, 80
"
600,"2, 63360, Note_on_c, 0, 75, 111
"
601,"2, 63480, Note_off_c, 0, 75, 80
"
602,"2, 63480, Note_on_c, 0, 69, 111
"
603,"2, 63600, Note_off_c, 0, 69, 80
"
604,"2, 63600, Note_on_c, 0, 78, 111
"
605,"2, 63720, Note_off_c, 0, 78, 80
"
606,"2, 63720, Note_on_c, 0, 75, 111
"
607,"2, 63840, Note_off_c, 0, 75, 80
"
608,"2, 63840, Note_on_c, 0, 81, 111
"
609,"2, 64320, Note_off_c, 0, 81, 80
"
610,"2, 64320, Note_on_c, 0, 69, 111
"
611,"2, 64320, Note_on_c, 0, 63, 111
"
612,"2, 64320, Note_on_c, 0, 59, 111
"
613,"2, 64320, Note_on_c, 0, 47, 127
"
614,"2, 64800, Note_off_c, 0, 69, 80
"
615,"2, 64800, Note_off_c, 0, 63, 80
"
616,"2, 64800, Note_off_c, 0, 59, 80
"
617,"2, 64800, Note_off_c, 0, 47, 80
"
618,"2, 64800, Note_on_c, 0, 63, 111
"
619,"2, 64920, Note_off_c, 0, 63, 80
"
620,"2, 64920, Note_on_c, 0, 57, 111
"
621,"2, 65040, Note_off_c, 0, 57, 80
"
622,"2, 65040, Note_on_c, 0, 66, 111
"
623,"2, 65160, Note_off_c, 0, 66, 80
"
624,"2, 65160, Note_on_c, 0, 63, 111
"
625,"2, 65280, Note_off_c, 0, 63, 80
"
626,"2, 65280, Note_on_c, 0, 69, 111
"
627,"2, 65760, Note_off_c, 0, 69, 80
"
628,"2, 65760, Note_on_c, 0, 59, 111
"
629,"2, 65760, Note_on_c, 0, 57, 111
"
630,"2, 65760, Note_on_c, 0, 51, 111
"
631,"2, 65760, Note_on_c, 0, 47, 111
"
632,"2, 66240, Note_off_c, 0, 59, 80
"
633,"2, 66240, Note_off_c, 0, 57, 80
"
634,"2, 66240, Note_off_c, 0, 51, 80
"
635,"2, 66240, Note_off_c, 0, 47, 80
"
636,"2, 66240, Note_on_c, 0, 57, 111
"
637,"2, 66360, Note_off_c, 0, 57, 80
"
638,"2, 66360, Note_on_c, 0, 54, 111
"
639,"2, 66480, Note_off_c, 0, 54, 80
"
640,"2, 66480, Note_on_c, 0, 59, 111
"
641,"2, 66600, Note_off_c, 0, 59, 80
"
642,"2, 66600, Note_on_c, 0, 57, 83
"
643,"2, 66720, Note_off_c, 0, 57, 80
"
644,"2, 66720, Note_on_c, 0, 63, 111
"
645,"2, 67200, Note_off_c, 0, 63, 80
"
646,"2, 67200, Note_on_c, 0, 63, 111
"
647,"2, 67200, Note_on_c, 0, 57, 111
"
648,"2, 67200, Note_on_c, 0, 54, 111
"
649,"2, 67200, Note_on_c, 0, 47, 127
"
650,"2, 67680, Note_off_c, 0, 63, 80
"
651,"2, 67680, Note_off_c, 0, 57, 80
"
652,"2, 67680, Note_off_c, 0, 54, 80
"
653,"2, 67680, Note_off_c, 0, 47, 80
"
654,"2, 67680, Note_on_c, 0, 63, 111
"
655,"2, 67680, Note_on_c, 0, 57, 111
"
656,"2, 67680, Note_on_c, 0, 54, 111
"
657,"2, 67680, Note_on_c, 0, 47, 127
"
658,"2, 68160, Note_off_c, 0, 63, 80
"
659,"2, 68160, Note_off_c, 0, 57, 80
"
660,"2, 68160, Note_off_c, 0, 54, 80
"
661,"2, 68160, Note_off_c, 0, 47, 80
"
662,"2, 68160, Note_on_c, 0, 66, 111
"
663,"2, 68160, Note_on_c, 0, 57, 111
"
664,"2, 68640, Note_off_c, 0, 66, 80
"
665,"2, 68640, Note_off_c, 0, 57, 80
"
666,"2, 68640, Note_on_c, 0, 64, 111
"
667,"2, 68640, Note_on_c, 0, 56, 127
"
668,"2, 69120, Note_off_c, 0, 64, 80
"
669,"2, 69120, Note_off_c, 0, 56, 80
"
670,"2, 69600, Note_on_c, 0, 64, 111
"
671,"2, 70080, Note_off_c, 0, 64, 80
"
672,"2, 70080, Note_on_c, 0, 68, 111
"
673,"2, 70080, Note_on_c, 0, 64, 111
"
674,"2, 70080, Note_on_c, 0, 59, 111
"
675,"2, 70080, Note_on_c, 0, 56, 127
"
676,"2, 70560, Note_off_c, 0, 68, 80
"
677,"2, 70560, Note_off_c, 0, 64, 80
"
678,"2, 70560, Note_off_c, 0, 59, 80
"
679,"2, 70560, Note_off_c, 0, 56, 80
"
680,"2, 70560, Note_on_c, 0, 49, 111
"
681,"2, 70680, Note_off_c, 0, 49, 80
"
682,"2, 70680, Note_on_c, 0, 45, 127
"
683,"2, 70800, Note_off_c, 0, 45, 80
"
684,"2, 70800, Note_on_c, 0, 52, 111
"
685,"2, 70920, Note_off_c, 0, 52, 80
"
686,"2, 70920, Note_on_c, 0, 49, 111
"
687,"2, 71040, Note_off_c, 0, 49, 80
"
688,"2, 71040, Note_on_c, 0, 57, 111
"
689,"2, 71520, Note_off_c, 0, 57, 80
"
690,"2, 71520, Note_on_c, 0, 73, 111
"
691,"2, 71520, Note_on_c, 0, 69, 111
"
692,"2, 71520, Note_on_c, 0, 64, 111
"
693,"2, 71520, Note_on_c, 0, 61, 111
"
694,"2, 72000, Note_off_c, 0, 73, 80
"
695,"2, 72000, Note_off_c, 0, 69, 80
"
696,"2, 72000, Note_off_c, 0, 64, 80
"
697,"2, 72000, Note_off_c, 0, 61, 80
"
698,"2, 72000, Note_on_c, 0, 51, 111
"
699,"2, 72120, Note_off_c, 0, 51, 80
"
700,"2, 72120, Note_on_c, 0, 47, 111
"
701,"2, 72240, Note_off_c, 0, 47, 80
"
702,"2, 72240, Note_on_c, 0, 54, 111
"
703,"2, 72360, Note_off_c, 0, 54, 80
"
704,"2, 72360, Note_on_c, 0, 51, 111
"
705,"2, 72480, Note_off_c, 0, 51, 80
"
706,"2, 72480, Note_on_c, 0, 59, 111
"
707,"2, 72960, Note_off_c, 0, 59, 80
"
708,"2, 72960, Note_on_c, 0, 75, 111
"
709,"2, 72960, Note_on_c, 0, 71, 111
"
710,"2, 72960, Note_on_c, 0, 66, 111
"
711,"2, 72960, Note_on_c, 0, 59, 111
"
712,"2, 73440, Note_off_c, 0, 75, 80
"
713,"2, 73440, Note_off_c, 0, 71, 80
"
714,"2, 73440, Note_off_c, 0, 66, 80
"
715,"2, 73440, Note_off_c, 0, 59, 80
"
716,"2, 73440, Note_on_c, 0, 59, 127
"
717,"2, 73440, Note_on_c, 0, 47, 127
"
718,"2, 73920, Note_off_c, 0, 59, 80
"
719,"2, 73920, Note_off_c, 0, 47, 80
"
720,"2, 73920, Note_on_c, 0, 76, 127
"
721,"2, 73920, Note_on_c, 0, 68, 127
"
722,"2, 73920, Note_on_c, 0, 64, 127
"
723,"2, 74400, Note_off_c, 0, 76, 80
"
724,"2, 74400, Note_off_c, 0, 68, 80
"
725,"2, 74400, Note_off_c, 0, 64, 80
"
726,"2, 74400, Note_on_c, 0, 40, 127
"
727,"2, 74880, Note_off_c, 0, 40, 80
"
728,"2, 74880, Note_on_c, 0, 51, 111
"
729,"2, 75000, Note_off_c, 0, 51, 80
"
730,"2, 75000, Note_on_c, 0, 47, 127
"
731,"2, 75120, Note_off_c, 0, 47, 80
"
732,"2, 75120, Note_on_c, 0, 54, 111
"
733,"2, 75240, Note_off_c, 0, 54, 80
"
734,"2, 75240, Note_on_c, 0, 51, 111
"
735,"2, 75360, Note_off_c, 0, 51, 80
"
736,"2, 75360, Note_on_c, 0, 59, 111
"
737,"2, 75840, Note_off_c, 0, 59, 80
"
738,"2, 75840, Note_on_c, 0, 71, 111
"
739,"2, 75840, Note_on_c, 0, 66, 111
"
740,"2, 75840, Note_on_c, 0, 63, 111
"
741,"2, 76320, Note_off_c, 0, 71, 80
"
742,"2, 76320, Note_off_c, 0, 66, 80
"
743,"2, 76320, Note_off_c, 0, 63, 80
"
744,"2, 76320, Note_on_c, 0, 51, 111
"
745,"2, 76440, Note_off_c, 0, 51, 80
"
746,"2, 76440, Note_on_c, 0, 45, 127
"
747,"2, 76560, Note_off_c, 0, 45, 80
"
748,"2, 76560, Note_on_c, 0, 54, 111
"
749,"2, 76680, Note_off_c, 0, 54, 80
"
750,"2, 76680, Note_on_c, 0, 51, 111
"
751,"2, 76800, Note_off_c, 0, 51, 80
"
752,"2, 76800, Note_on_c, 0, 57, 111
"
753,"2, 77280, Note_off_c, 0, 57, 80
"
754,"2, 77280, Note_on_c, 0, 73, 111
"
755,"2, 77280, Note_on_c, 0, 66, 111
"
756,"2, 77280, Note_on_c, 0, 61, 111
"
757,"2, 77760, Note_off_c, 0, 73, 80
"
758,"2, 77760, Note_off_c, 0, 66, 80
"
759,"2, 77760, Note_off_c, 0, 61, 80
"
760,"2, 77760, Note_on_c, 0, 48, 111
"
761,"2, 77880, Note_off_c, 0, 48, 80
"
762,"2, 77880, Note_on_c, 0, 44, 111
"
763,"2, 78000, Note_off_c, 0, 44, 80
"
764,"2, 78000, Note_on_c, 0, 51, 111
"
765,"2, 78120, Note_off_c, 0, 51, 80
"
766,"2, 78120, Note_on_c, 0, 48, 111
"
767,"2, 78240, Note_off_c, 0, 48, 80
"
768,"2, 78240, Note_on_c, 0, 56, 127
"
769,"2, 78720, Note_off_c, 0, 56, 80
"
770,"2, 78720, Note_on_c, 0, 75, 111
"
771,"2, 78720, Note_on_c, 0, 66, 111
"
772,"2, 78720, Note_on_c, 0, 60, 111
"
773,"2, 79200, Note_off_c, 0, 75, 80
"
774,"2, 79200, Note_off_c, 0, 66, 80
"
775,"2, 79200, Note_off_c, 0, 60, 80
"
776,"2, 79200, Note_on_c, 0, 56, 127
"
777,"2, 79680, Note_off_c, 0, 56, 80
"
778,"2, 79680, Note_on_c, 0, 72, 111
"
779,"2, 79680, Note_on_c, 0, 66, 111
"
780,"2, 79680, Note_on_c, 0, 63, 111
"
781,"2, 79680, Note_on_c, 0, 56, 127
"
782,"2, 80160, Note_off_c, 0, 72, 80
"
783,"2, 80160, Note_off_c, 0, 66, 80
"
784,"2, 80160, Note_off_c, 0, 63, 80
"
785,"2, 80160, Note_off_c, 0, 56, 80
"
786,"2, 80160, Note_on_c, 0, 73, 111
"
787,"2, 80160, Note_on_c, 0, 64, 111
"
788,"2, 80160, Note_on_c, 0, 49, 111
"
789,"2, 80640, Note_off_c, 0, 73, 80
"
790,"2, 80640, Note_off_c, 0, 64, 80
"
791,"2, 80640, Note_off_c, 0, 49, 80
"
792,"2, 80640, Note_on_c, 0, 52, 111
"
793,"2, 80760, Note_off_c, 0, 52, 80
"
794,"2, 80760, Note_on_c, 0, 49, 111
"
795,"2, 80880, Note_off_c, 0, 49, 80
"
796,"2, 80880, Note_on_c, 0, 56, 127
"
797,"2, 81000, Note_off_c, 0, 56, 80
"
798,"2, 81000, Note_on_c, 0, 52, 111
"
799,"2, 81120, Note_off_c, 0, 52, 80
"
800,"2, 81120, Note_on_c, 0, 61, 111
"
801,"2, 81600, Note_off_c, 0, 61, 80
"
802,"2, 81600, Note_on_c, 0, 73, 111
"
803,"2, 81600, Note_on_c, 0, 68, 111
"
804,"2, 81600, Note_on_c, 0, 64, 111
"
805,"2, 82080, Note_off_c, 0, 73, 80
"
806,"2, 82080, Note_off_c, 0, 68, 80
"
807,"2, 82080, Note_off_c, 0, 64, 80
"
808,"2, 82080, Note_on_c, 0, 51, 111
"
809,"2, 82200, Note_off_c, 0, 51, 80
"
810,"2, 82200, Note_on_c, 0, 47, 127
"
811,"2, 82320, Note_off_c, 0, 47, 80
"
812,"2, 82320, Note_on_c, 0, 56, 127
"
813,"2, 82440, Note_off_c, 0, 56, 80
"
814,"2, 82440, Note_on_c, 0, 51, 111
"
815,"2, 82560, Note_off_c, 0, 51, 80
"
816,"2, 82560, Note_on_c, 0, 59, 111
"
817,"2, 83040, Note_off_c, 0, 59, 80
"
818,"2, 83040, Note_on_c, 0, 75, 111
"
819,"2, 83040, Note_on_c, 0, 68, 111
"
820,"2, 83040, Note_on_c, 0, 63, 111
"
821,"2, 83520, Note_off_c, 0, 75, 80
"
822,"2, 83520, Note_off_c, 0, 68, 80
"
823,"2, 83520, Note_off_c, 0, 63, 80
"
824,"2, 83520, Note_on_c, 0, 50, 111
"
825,"2, 83640, Note_off_c, 0, 50, 80
"
826,"2, 83640, Note_on_c, 0, 46, 111
"
827,"2, 83760, Note_off_c, 0, 46, 80
"
828,"2, 83760, Note_on_c, 0, 53, 111
"
829,"2, 83880, Note_off_c, 0, 53, 80
"
830,"2, 83880, Note_on_c, 0, 49, 111
"
831,"2, 84000, Note_off_c, 0, 49, 80
"
832,"2, 84000, Note_on_c, 0, 58, 111
"
833,"2, 84480, Note_off_c, 0, 58, 80
"
834,"2, 84480, Note_on_c, 0, 77, 111
"
835,"2, 84480, Note_on_c, 0, 68, 111
"
836,"2, 84480, Note_on_c, 0, 62, 111
"
837,"2, 84960, Note_off_c, 0, 77, 80
"
838,"2, 84960, Note_off_c, 0, 68, 80
"
839,"2, 84960, Note_off_c, 0, 62, 80
"
840,"2, 84960, Note_on_c, 0, 58, 111
"
841,"2, 85440, Note_off_c, 0, 58, 80
"
842,"2, 85440, Note_on_c, 0, 74, 127
"
843,"2, 85440, Note_on_c, 0, 68, 127
"
844,"2, 85440, Note_on_c, 0, 65, 127
"
845,"2, 85440, Note_on_c, 0, 58, 127
"
846,"2, 85920, Note_off_c, 0, 74, 80
"
847,"2, 85920, Note_off_c, 0, 68, 80
"
848,"2, 85920, Note_off_c, 0, 65, 80
"
849,"2, 85920, Note_off_c, 0, 58, 80
"
850,"2, 85920, Note_on_c, 0, 75, 111
"
851,"2, 85920, Note_on_c, 0, 66, 111
"
852,"2, 85920, Note_on_c, 0, 51, 111
"
853,"2, 86400, Note_off_c, 0, 75, 80
"
854,"2, 86400, Note_off_c, 0, 66, 80
"
855,"2, 86400, Note_off_c, 0, 51, 80
"
856,"2, 86880, Note_on_c, 0, 70, 111
"
857,"2, 86880, Note_on_c, 0, 63, 111
"
858,"2, 86880, Note_on_c, 0, 54, 111
"
859,"2, 87360, Note_off_c, 0, 70, 80
"
860,"2, 87360, Note_off_c, 0, 63, 80
"
861,"2, 87360, Note_off_c, 0, 54, 80
"
862,"2, 87360, Note_on_c, 0, 71, 111
"
863,"2, 87360, Note_on_c, 0, 63, 111
"
864,"2, 87360, Note_on_c, 0, 56, 127
"
865,"2, 87840, Note_off_c, 0, 71, 80
"
866,"2, 87840, Note_off_c, 0, 63, 80
"
867,"2, 87840, Note_off_c, 0, 56, 80
"
868,"2, 88800, Note_on_c, 0, 63, 111
"
869,"2, 88800, Note_on_c, 0, 54, 111
"
870,"2, 88800, Note_on_c, 0, 46, 111
"
871,"2, 89280, Note_off_c, 0, 63, 80
"
872,"2, 89280, Note_off_c, 0, 54, 80
"
873,"2, 89280, Note_off_c, 0, 46, 80
"
874,"2, 89280, Note_on_c, 0, 62, 111
"
875,"2, 89280, Note_on_c, 0, 56, 127
"
876,"2, 89280, Note_on_c, 0, 53, 111
"
877,"2, 89280, Note_on_c, 0, 42, 95
"
878,"2, 89760, Note_off_c, 0, 62, 80
"
879,"2, 89760, Note_off_c, 0, 56, 80
"
880,"2, 89760, Note_off_c, 0, 53, 80
"
881,"2, 89760, Note_off_c, 0, 42, 80
"
882,"2, 89760, Note_on_c, 0, 63, 111
"
883,"2, 89760, Note_on_c, 0, 54, 111
"
884,"2, 90240, Note_off_c, 0, 63, 80
"
885,"2, 90240, Note_off_c, 0, 54, 80
"
886,"2, 90240, Note_on_c, 0, 70, 111
"
887,"2, 90720, Note_off_c, 0, 70, 80
"
888,"2, 90720, Note_on_c, 0, 70, 111
"
889,"2, 91200, Note_off_c, 0, 70, 80
"
890,"2, 91200, Note_on_c, 0, 70, 111
"
891,"2, 92160, Note_off_c, 0, 70, 80
"
892,"2, 92160, Note_on_c, 0, 62, 111
"
893,"2, 92640, Note_off_c, 0, 62, 80
"
894,"2, 92640, Note_on_c, 0, 63, 111
"
895,"2, 93120, Note_off_c, 0, 63, 80
"
896,"2, 93120, Note_on_c, 0, 65, 111
"
897,"2, 93600, Note_off_c, 0, 65, 80
"
898,"2, 93600, Note_on_c, 0, 66, 111
"
899,"2, 94080, Note_off_c, 0, 66, 80
"
900,"2, 94080, Note_on_c, 0, 66, 111
"
901,"2, 94140, Note_off_c, 0, 66, 80
"
902,"2, 94140, Note_on_c, 0, 65, 83
"
903,"2, 94560, Note_off_c, 0, 65, 80
"
904,"2, 94560, Note_on_c, 0, 63, 111
"
905,"2, 95040, Note_off_c, 0, 63, 80
"
906,"2, 95040, Note_on_c, 0, 62, 111
"
907,"2, 95100, Note_off_c, 0, 62, 80
"
908,"2, 95100, Note_on_c, 0, 64, 83
"
909,"2, 95160, Note_off_c, 0, 64, 80
"
910,"2, 95160, Note_on_c, 0, 62, 83
"
911,"2, 95220, Note_off_c, 0, 62, 80
"
912,"2, 95220, Note_on_c, 0, 64, 83
"
913,"2, 95280, Note_off_c, 0, 64, 80
"
914,"2, 95280, Note_on_c, 0, 62, 83
"
915,"2, 95340, Note_off_c, 0, 62, 80
"
916,"2, 95340, Note_on_c, 0, 64, 83
"
917,"2, 95400, Note_off_c, 0, 64, 80
"
918,"2, 95400, Note_on_c, 0, 60, 83
"
919,"2, 95460, Note_off_c, 0, 60, 80
"
920,"2, 95460, Note_on_c, 0, 61, 83
"
921,"2, 95520, Note_off_c, 0, 61, 80
"
922,"2, 95520, Note_on_c, 0, 63, 111
"
923,"2, 96000, Note_off_c, 0, 63, 80
"
924,"2, 96000, Note_on_c, 0, 63, 111
"
925,"2, 96060, Note_off_c, 0, 63, 80
"
926,"2, 96060, Note_on_c, 0, 70, 83
"
927,"2, 96480, Note_off_c, 0, 70, 80
"
928,"2, 96480, Note_on_c, 0, 70, 111
"
929,"2, 96960, Note_off_c, 0, 70, 80
"
930,"2, 96960, Note_on_c, 0, 70, 111
"
931,"2, 97920, Note_off_c, 0, 70, 80
"
932,"2, 97920, Note_on_c, 0, 62, 111
"
933,"2, 98400, Note_off_c, 0, 62, 80
"
934,"2, 98880, Note_on_c, 0, 70, 111
"
935,"2, 99360, Note_off_c, 0, 70, 80
"
936,"2, 99360, Note_on_c, 0, 70, 111
"
937,"2, 99840, Note_off_c, 0, 70, 80
"
938,"2, 100320, Note_on_c, 0, 64, 111
"
939,"2, 100800, Note_off_c, 0, 64, 80
"
940,"2, 100800, Note_on_c, 0, 64, 111
"
941,"2, 101280, Note_off_c, 0, 64, 80
"
942,"2, 101760, Note_on_c, 0, 69, 111
"
943,"2, 102240, Note_off_c, 0, 69, 80
"
944,"2, 102240, Note_on_c, 0, 69, 111
"
945,"2, 102720, Note_off_c, 0, 69, 80
"
946,"2, 103200, Note_on_c, 0, 62, 111
"
947,"2, 103680, Note_off_c, 0, 62, 80
"
948,"2, 103680, Note_on_c, 0, 62, 111
"
949,"2, 104160, Note_off_c, 0, 62, 80
"
950,"2, 104280, Tempo, 454545
"
951,"2, 104400, Tempo, 454545
"
952,"2, 104520, Tempo, 458015
"
953,"2, 104640, Tempo, 461538
"
954,"2, 104640, Note_on_c, 0, 69, 111
"
955,"2, 104760, Tempo, 465116
"
956,"2, 104880, Tempo, 468750
"
957,"2, 105000, Tempo, 468750
"
958,"2, 105120, Tempo, 472440
"
959,"2, 105120, Note_off_c, 0, 69, 80
"
960,"2, 105120, Note_on_c, 0, 69, 111
"
961,"2, 105240, Tempo, 476190
"
962,"2, 105360, Tempo, 476190
"
963,"2, 105480, Tempo, 480000
"
964,"2, 105600, Tempo, 483870
"
965,"2, 105600, Note_off_c, 0, 69, 80
"
966,"2, 105720, Tempo, 487804
"
967,"2, 105840, Tempo, 491803
"
968,"2, 105960, Tempo, 491803
"
969,"2, 106080, Tempo, 495867
"
970,"2, 106080, Note_on_c, 0, 69, 111
"
971,"2, 106200, Tempo, 500000
"
972,"2, 106320, Tempo, 500000
"
973,"2, 106440, Tempo, 504201
"
974,"2, 106560, Tempo, 508474
"
975,"2, 106560, Note_off_c, 0, 69, 80
"
976,"2, 106560, Note_on_c, 0, 69, 111
"
977,"2, 106680, Tempo, 512820
"
978,"2, 106800, Tempo, 517241
"
979,"2, 106920, Tempo, 517241
"
980,"2, 107040, Tempo, 521739
"
981,"2, 108480, Note_off_c, 0, 69, 80
"
982,"2, 108480, Tempo, 451127
"
983,"2, 109440, Note_on_c, 0, 76, 111
"
984,"2, 109560, Note_off_c, 0, 76, 80
"
985,"2, 109560, Note_on_c, 0, 71, 111
"
986,"2, 109680, Note_off_c, 0, 71, 80
"
987,"2, 109680, Note_on_c, 0, 80, 111
"
988,"2, 109800, Note_off_c, 0, 80, 80
"
989,"2, 109800, Note_on_c, 0, 76, 111
"
990,"2, 109920, Note_off_c, 0, 76, 80
"
991,"2, 109920, Note_on_c, 0, 83, 111
"
992,"2, 110400, Note_off_c, 0, 83, 80
"
993,"2, 110880, Note_on_c, 0, 68, 111
"
994,"2, 111000, Note_off_c, 0, 68, 80
"
995,"2, 111000, Note_on_c, 0, 64, 111
"
996,"2, 111120, Note_off_c, 0, 64, 80
"
997,"2, 111120, Note_on_c, 0, 71, 111
"
998,"2, 111240, Note_off_c, 0, 71, 80
"
999,"2, 111240, Note_on_c, 0, 68, 111
"
1000,"2, 111360, Note_off_c, 0, 68, 80
"
1001,"2, 111360, Note_on_c, 0, 76, 111
"
1002,"2, 111840, Note_off_c, 0, 76, 80
"
1003,"2, 112320, Note_on_c, 0, 56, 127
"
1004,"2, 112440, Note_off_c, 0, 56, 80
"
1005,"2, 112440, Note_on_c, 0, 52, 111
"
1006,"2, 112560, Note_off_c, 0, 52, 80
"
1007,"2, 112560, Note_on_c, 0, 59, 111
"
1008,"2, 112680, Note_off_c, 0, 59, 80
"
1009,"2, 112680, Note_on_c, 0, 56, 127
"
1010,"2, 112800, Note_off_c, 0, 56, 80
"
1011,"2, 112800, Note_on_c, 0, 64, 111
"
1012,"2, 113280, Note_off_c, 0, 64, 80
"
1013,"2, 113280, Note_on_c, 0, 64, 111
"
1014,"2, 113280, Note_on_c, 0, 58, 111
"
1015,"2, 113280, Note_on_c, 0, 49, 111
"
1016,"2, 113760, Note_off_c, 0, 64, 80
"
1017,"2, 113760, Note_off_c, 0, 58, 80
"
1018,"2, 113760, Note_off_c, 0, 49, 80
"
1019,"2, 113760, Note_on_c, 0, 64, 111
"
1020,"2, 113760, Note_on_c, 0, 61, 111
"
1021,"2, 113760, Note_on_c, 0, 46, 127
"
1022,"2, 114240, Note_off_c, 0, 64, 80
"
1023,"2, 114240, Note_off_c, 0, 61, 80
"
1024,"2, 114240, Note_off_c, 0, 46, 80
"
1025,"2, 114240, Note_on_c, 0, 64, 111
"
1026,"2, 114240, Note_on_c, 0, 61, 111
"
1027,"2, 114720, Note_off_c, 0, 64, 80
"
1028,"2, 114720, Note_off_c, 0, 61, 80
"
1029,"2, 114720, Note_on_c, 0, 63, 111
"
1030,"2, 114720, Note_on_c, 0, 59, 111
"
1031,"2, 115200, Note_off_c, 0, 63, 80
"
1032,"2, 115200, Note_off_c, 0, 59, 80
"
1033,"2, 115200, Note_on_c, 0, 75, 111
"
1034,"2, 115320, Note_off_c, 0, 75, 80
"
1035,"2, 115320, Note_on_c, 0, 69, 111
"
1036,"2, 115440, Note_off_c, 0, 69, 80
"
1037,"2, 115440, Note_on_c, 0, 78, 111
"
1038,"2, 115560, Note_off_c, 0, 78, 80
"
1039,"2, 115560, Note_on_c, 0, 75, 111
"
1040,"2, 115680, Note_off_c, 0, 75, 80
"
1041,"2, 115680, Note_on_c, 0, 81, 111
"
1042,"2, 116160, Note_off_c, 0, 81, 80
"
1043,"2, 116160, Note_on_c, 0, 69, 111
"
1044,"2, 116160, Note_on_c, 0, 63, 111
"
1045,"2, 116160, Note_on_c, 0, 59, 111
"
1046,"2, 116160, Note_on_c, 0, 47, 127
"
1047,"2, 116640, Note_off_c, 0, 69, 80
"
1048,"2, 116640, Note_off_c, 0, 63, 80
"
